Via;Numero Civico;Citt…;Provincia;Paese;Id(Field utile solo al fine dell'ordinamento) ;Quartiere;Longitudine(X);Latitudine(Y);StAddr;CAP;Anno Accertamento;Mese Accertamento;Giorno Accertamento;Numero Verbali;Descrizione Sanzione;Descrizione Paragrafo;Descrizione Capitolo;Descrizione Prontuario
Aiuola Cesare Balbo;22;Torino;TO;Italia;3718;Vanchiglia;7.700369941;45.06984723;Via Cesare Balbo 22;10124;2017;9;26;1;ART. 241 LOCALI ? ATTREZZATURE REGOLAMENTO D'IGIENE;LOCALI ? ATTREZZATURE;AUTORIZZAZIONI A.S.L.;REGOLAMENTO D'IGIENE
Corso A. De Gasperi;0;Torino;TO;Italia;1903;Crocetta;7.663062694;45.05873729;Corso Alcide De Gasperi;10129;2017;5;6;1;ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.
Corso A. De Gasperi;0;Torino;TO;Italia;3898;Crocetta;7.663062694;45.05873729;Corso Alcide De Gasperi;10129;2017;10;6;1;ART. 19 C. 2 SANZIONI AMMINISTRATIVE REGOLAMENTO PUBBLICHE AFFISSIONI;SANZIONI AMMINISTRATIVE;AFFISSIONE ABUSIVA;REGOLAMENTO PUBBLICHE AFFISSIONI
Corso A. De Gasperi;0;Torino;TO;Italia;4501;Crocetta;7.663062694;45.05873729;Corso Alcide De Gasperi;10129;2017;11;10;1;ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.
Corso A. De Gasperi;7;Torino;TO;Italia;1904;Crocetta;7.662862391;45.05834126;Corso Alcide De Gasperi 7;10129;2017;5;6;1;ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.
Corso A. De Gasperi;9;Torino;TO;Italia;1905;Crocetta;7.662574969;45.05798658;Corso Alcide De Gasperi 9;10129;2017;5;6;2;ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.
Corso A. De Gasperi;9;Torino;TO;Italia;4689;Crocetta;7.662574969;45.05798658;Corso Alcide De Gasperi 9;10129;2017;11;21;1;ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.
Corso A. De Gasperi;13;Torino;TO;Italia;4524;Crocetta;7.662478075;45.05780842;Corso Alcide De Gasperi 13;10129;2017;11;11;1;ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.
Corso A. De Gasperi;15;Torino;TO;Italia;1906;Crocetta;7.662336045;45.05764773;Corso Alcide De Gasperi 15;10129;2017;5;6;2;ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.
Corso A. De Gasperi;15;Torino;TO;Italia;1907;Crocetta;7.662336045;45.05764773;Corso Alcide De Gasperi 15;10129;2017;5;6;1;ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.
Corso A. De Gasperi;15;Torino;TO;Italia;4525;Crocetta;7.662336045;45.05764773;Corso Alcide De Gasperi 15;10129;2017;11;11;4;ARTT. 35?49 ATTREZZATURE DI VENDITA REGOLAMENTO AREE MERCATALI;ATTREZZATURE DI VENDITA;MODALITA' ORGANIZZATIVE;REG. DISC. DEL COMMERCIO SU AREA PUBBLICA
Corso A. De Gasperi;40;Torino;TO;Italia;3297;Crocetta;7.659109766;45.05528671;Corso Alcide De Gasperi 40;10129;2017;8;24;1;ARTT. 8 C. 6 C. 8 IN REL ART. 21 C. 1 AUTORIZZAZIONE ATTIVITA' PRODUTTIVE ? L.R. 38/2006;AUTORIZZAZIONE;ESERCIZI DI SOMMINISTRAZIONE;ATTIVITA' PRODUTTIVE ? L.R. 38/2006
Corso A. De Gasperi;51;Torino;TO;Italia;2361;Crocetta;7.658305684;45.05455311;Corso Alcide De Gasperi 51;10129;2017;6;6;1;ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.
Corso A. De Gasperi;52;Torino;TO;Italia;1404;Crocetta;7.657918743;45.05431691;Corso Alcide De Gasperi 52;10129;2017;3;28;1;ART. 18 C. 2 EVASIONE DEL CANONE REGOLAMENTO C.O.S.A.P.;EVASIONE DEL CANONE;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.
Corso A. De Gasperi;57;Torino;TO;Italia;508;Crocetta;7.657814393;45.05410946;Corso Alcide De Gasperi 57;10129;2017;2;4;1;ART. 18 C. 2 EVASIONE DEL CANONE REGOLAMENTO C.O.S.A.P.;EVASIONE DEL CANONE;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.
